system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,NDVI,class,.geo
1_1_1_28_0,0.1322,0.1103,0.0791,0.1038,0.0936,0.1369,0.1239,0.1317,0.1106,0.08325174,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.324040569143,33.44836536231253]}"
1_1_1_29_0,0.1367,0.117,0.092,0.1152,0.1154,0.1471,0.1437,0.1426,0.1536,0.14200746,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.29870807813083,33.461570596989084]}"
1_1_1_30_0,0.0839,0.0661,0.0619,0.0851,0.063,0.0886,0.0788,0.0746,0.0654,0.018691557,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.31784219368257,33.45456373777295]}"
1_1_1_31_0,0.0751,0.05565,0.06595,0.0868,0.08285,0.0929,0.10905,0.11615,0.167,0.33680207,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.31865067743827,33.45833666196626]}"
1_1_1_32_0,0.0212,0.0151,0.0517,0.0555,0.0387,0.03675,0.03355,0.0341,0.0327,-0.08403363,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.58131806651483,33.32556566297339]}"
1_1_1_33_0,0.02,0.01395,0.0544,0.05745,0.039,0.0402,0.03535,0.0357,0.0328,-0.086350985,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.58580964293542,33.318379140700436]}"
1_1_1_34_0,0.0168,0.01225,0.05635,0.0554,0.03715,0.03655,0.03175,0.03075,0.0289,-0.12490538,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.59434363813456,33.30750952576259]}"
1_1_1_35_0,0.0268,0.0202,0.0469,0.0565,0.0379,0.0425,0.0263,0.0259,0.0241,-0.22258066,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.6291982711584,33.17222324397419]}"
1_1_1_36_0,0.02885,0.02095,0.04975,0.06675,0.04565,0.0493,0.03025,0.03365,0.0299,-0.20847124,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.63845091858482,33.15587390580321]}"
1_1_1_37_0,0.03715,0.0277,0.0514,0.0656,0.04925,0.06085,0.0572,0.0589,0.06585,0.14422241,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.63162372242552,33.143566986410775]}"
1_1_1_38_0,0.02395,0.01745,0.07385,0.09105,0.0749,0.07205,0.048,0.04515,0.0415,-0.28694162,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.5540092818776,33.2024066375206]}"
1_1_1_39_0,0.018,0.014,0.0713,0.0979,0.0745,0.0806,0.047,0.0469,0.041,-0.2900433,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.525532687371,33.184350500309804]}"
1_1_1_40_0,0.0184,0.01335,0.0699,0.0998,0.0747,0.0828,0.04655,0.0456,0.0403,-0.2991304,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.52616150806989,33.18084707070174]}"
1_1_1_41_0,0.0231,0.0159,0.0488,0.0606,0.0398,0.0468,0.0289,0.029,0.0298,-0.14367816,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.63162372242552,33.09838172761956]}"
1_1_1_42_0,0.0205,0.01615,0.0472,0.055,0.03485,0.04115,0.02465,0.02575,0.0237,-0.19043553,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.61994562373197,33.0693661439425]}"
1_1_1_43_0,0.02045,0.0171,0.05535,0.069,0.0462,0.05465,0.02765,0.02895,0.02655,-0.27010307,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.59793689927103,33.01034682977585]}"
